Review Entry,Authors,Title,Journal,Year,Schisto,Snail_species,Trematode_Species,Scale,Continent,Country,Model Approach,Model,Occurrence/Abundance,Datasource_Occ,Predictors,Resolution,Datasource_Predictors,Collinearity,Testing,Evaluation,Purpose
39,"Standley, C. J. et al",The distribution of Biomphalaria (Gastropoda: Planorbidae) in Lake Victoria with ecological and spatial predictions using Bayesian modelling,Hydrobiologia,2012,Y,Biomphalaria choanomphala; Biomphalaria sudanica,Schistosoma mansoni,R,Africa,Uganda;Tanzania;Kenya,MIX,LR;GLM;Bayesian Inference;Kriging,A,sampling,CLIM;ENV;ANTH;WATER,8km,Sampling; USGS African Data Dessemination Service,NO,NO,NO,PRED
40,"Rumi, A., Eugenio Vogler, R. & Anibal Beltramino, A",The South-American distribution and southernmost record of Biomphalaria peregrina-a potential intermediate host of schistosomiasis,PeerJ,2017,Y,Biomphalaria peregrina,Schistosoma mansoni,R,South America,"Argentina, Bolivia, Brazil, Chile, Colombia, Ecuador, Guyana, Paraguay, Peru, Suriname, Uruguay, Venezuela",S,ME,O,"literature;museum;WMSDB, Worldwide Mollusc Species Data Base;GenBank",CLIM;ENV,30arcsec,Worldclim;HydroSHEDS; USGS,NO,RAN,AUC,PRED
41,"Moser, W. et al","The spatial and seasonal distribution of Bulinus truncatus, Bulinus forskalii and Biomphalaria pfeifferi, the intermediate host snails of schistosomiasis, in N’Djamena, Chad",Geospatial Health,2014,Y,Biomphalaria truncatus; Bulinus forskalii; Biomphalaria pfeifferi,Schistosoma mansoni;Schistosoma haematobium,SN,Africa,Chad,MIX,Kringing;LR,A,sampling,WATER;ENV;ANTH,15m;NS,Sampling;Landsat,NO,RES,AIC,PRED
42,"Xue, J. et al",Transmission Risk Predicting for Schistosomiasis in Mainland China by Exploring Ensemble Ecological Niche Modeling,Tropical Medicine and Infectious Disease,2023,Y,Oncomelania hupensis,Schistosoma japonicum,N,Asia,China,ENS,ENV;GLM;GAM;MARS;GBM;CART;Flexible Descriminant Analysis;ANN;ME;RF,O,GovSurvey,CLIM;ENV,1km;10km,WorldClim; USGS; China National Met Dataset; UN Foodand Agriculture Organization; Environmental Data Center of Chinese Academy of Sciences,COR,RAN,AUC;TSS,PRED
43,"Sousa, D. G. dos S., Pires-Oliveira, J. C., de Sousa, R. L. T., Freire, S. M. & Pinto, H. A","Use of a geospatial tool to predict the distribution of Melanoides tuberculata (Müller, 1774) and some native freshwater gastropods found in Brazil",Biota Neotropica,2024,M,Melanoides tuberculata; Biomphalaria glabrata; Biomphalaria straminea; Pomacea canaliculata; Stenophysa marmorata; Drepanotrema cimex; Drepanotrema depressissimum;  Drepanotrema lucidum; Drepanotrema schubarti; Uncancylus concentricus,Paragonimus westermani; Schistosoma mansoni,R,South America,"Argentina, Bolivia, Brazil, Chile, Colombia, Ecuador, Guyana, Paraguay, Peru, Suriname, Uruguay, Venezuela",ENS,ENV;ME;RF;Niche Factor Analysis;GLM;GAM,O,GBIF;SpeciesLink,CLIM,10km,WorldClim,PCA,RES,TSS,PROJ
44,"Magero, V.O., Kisara, S., Suleman, M.A., Wade, C.M.",Distribution of the schistosome intermediate snail host Biomphalaria pfeifferi in East Africa's river systems and the prevalence of Schistosoma mansoni infection,Transactions of the Royal Society of Tropical Medicine and Hygeine,2024,Y,Biomphalaria pfeifferi,Schistosoma mansoni,R,Africa,Kenya;Uganda;Tanzania,S,ME,O,GBIF,CLIM;ENV,NS,WorldClim; ISRIC; ESA Climate Change Initiative,NO,NO,NO,EXPL
47,"Nwoko, O. E., Manyangadze, T. & Chimbari, M. J","Predicted changes in habitat suitability for human schistosomiasis intermediate host snails for modelled future climatic conditions in KwaZulu-Natal, South Africa",Frontiers in Environmental Science,2023,Y,Bulinus globosus; Biomphalaria pfeifferi,Schistosoma mansoni;Schistosoma haematobium,SN,Africa,South Africa,S,ME,O,sampling,CLIM,30arcsec,AFRICLIM,NO,RAN,AUC,PROJ
51,"Nasibi, S., et al","Molecular, morphological, and spatial study of Galba schirazensis (Pulmonata, Lymnaeidae) from Southeastern Iran",Iranian Journal of Parasitology,2021,N,Galba schirazenis,Fasciola hepatica,G,Global,Global,S,ME,O,sampling,CLIM;ENV,1km,WorldClim,NO,RAN,AUC,PRED
52,"Niu, Y., et al",Identifying and predicting the geographical distribution patterns of Oncomelania hupensis,International Journal of Environmental Research and Public Health,2019,Y,Oncomelania hupensis,Schistosoma japonicum,SN,Asia,China,S,ME,O,sampling;GovSurvey,CLIM;ENV,500m;1km;30m;1km;2m;30m,Landsat; China Research Environmental Science Data Platform,NO,RAN,AUC,PRED
53,"Martin, P. B., Ovando, X. M. C., & Seuffert, M. E.",First record of the freshwater snail Pseudosuccinea columella (Gastropoda: Lymnaeidae) in southern Pampas (Argentina) and assessment of future spread,Molluscan Research,2016,N,Pseudosuccinea columella,Fasciola hepatica;Fasciola gigantica,SN,South America,Argentina,S,ME,O,sampling,CLIM,1km,WorldClim,NO,RAN,AUC,PRED
54,"Habib, MR, et al","Predicting the spatial distribution of Biomphalaria straminea, a potential intermediate host for Schistosoma mansoni, in China",Geospatial Health,2016,Y,Biomphalaria straminea,Schistosoma mansoni,N,Asia,China,S,ME,O,sampling;GovSurvey,CLIM;ENV,1km,WorldClim;USGS,NO,RAN,AUC,PRED
